Last Update;Continent;Region;ICC;ID;Country;ID;;Province;ID;District;ZIP;Area;Population;Doubletten;;"Cases 
/
100.000";Confirmed;Deaths;Recovered;OpenStreetMap;Lat.;Long.;#
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;7.416.473.160;USA;;4,53;335.957;14.634;97.882;;;;292
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
2020-03-22 11:13;Asia;Eastern Asia;86;CHN;China;渝;;Chongqing;;;;;31.020.000;CHN_渝;0;1,86;577;6;570;https://www.openstreetmap.org/#map=5/30.0572/107.8740&layers=T;30.0572;107.8740;52
2020-03-22 16:13;Europe;Northern Europe;354;ISL;Iceland;;;;;;;;364.260;ISL;0;155,93;568;1;36;https://www.openstreetmap.org/#map=5/64.9631/-19.0208&layers=T;64.9631;-19.0208;53
2020-03-22 02:13;Asia;Eastern Asia;86;CHN;China;川;;Sichuan;;;;;83.410.000;CHN_川;0;0,65;543;3;536;https://www.openstreetmap.org/#map=5/30.6171/102.7103&layers=T;30.6171;102.7103;54
2020-03-22 14:13;Oceania;Oceania;61;AUS;Australia;NSW;;New South Wales;;;;;8.089.526;AUS_NSW;0;6,59;533;6;4;https://www.openstreetmap.org/#map=5/-33.8688/151.2093&layers=T;-33.8688;151.2093;55
2020-03-22 05:43;Asia;Eastern Asia;86;CHN;China;京;;Beijing;;;;;21.540.000;CHN_京;0;2,39;514;8;400;https://www.openstreetmap.org/#map=5/40.1824/116.4142&layers=T;40.1824;116.4142;56
2020-03-22 16:13;Asia;South-eastern Asia;62;IDN;Indonesia;;;;;;;;266.911.900;IDN;0;0,19;514;48;29;https://www.openstreetmap.org/#map=5/-0.7893/113.9213&layers=T;-0.7893;113.9213;57
2020-03-22 16:13;Asia;Western Asia;966;SAU;Saudi Arabia;;;;;;;;34.218.169;SAU;0;1,49;511;0;16;https://www.openstreetmap.org/#map=5/23.8859/45.0792&layers=T;23.8859;45.0792;58
2020-03-22 22:43;Americas;Northern America;1;USA;United States;PA;;Pennsylvania;;;;;12.702.379;USA_PA;0;4,01;509;3;0;https://www.openstreetmap.org/#map=5/40.5908/-77.2098&layers=T;40.5908;-77.2098;59
2020-03-22 22:43;Americas;Northern America;1;USA;United States;TN;;Tennessee;;;;;6.346.105;USA_TN;0;7,96;505;2;0;https://www.openstreetmap.org/#map=5/35.7478/-86.6923&layers=T;35.7478;-86.6923;60
2020-03-22 23:13;Asia;Western Asia;974;QAT;Qatar;;;;;;;;2.747.282;QAT;0;17,98;494;0;33;https://www.openstreetmap.org/#map=5/25.3548/51.1839&layers=T;25.3548;51.1839;61
2020-03-22 04:43;Asia;Eastern Asia;86;CHN;China;黑;;Heilongjiang;;;;;37.730.000;CHN_黑;0;1,28;484;13;466;https://www.openstreetmap.org/#map=5/47.8620/127.7615&layers=T;47.8620;127.7615;62
