Continent;Region;ICC;ID;Country;ID;;Province;ID;District;ZIP;Area;Population;#
Europe;Southern Europe;378;SMR;San Marino;;;;;;;;33.574;192
Asia;Western Asia;966;SAU;Saudi Arabia;;;;;;;;34.218.169;193
Africa;Western Africa;221;SEN;Senegal;;;;;;;;16.209.125;194
Europe;Southern Europe;381;SRB;Serbia;;;;;;;;6.963.764;195
Africa;Eastern Africa;248;SYC;Seychelles;;;;;;;;97.625;196
Asia;South-eastern Asia;65;SGP;Singapore;;;;;;;;5.703.600;197
Europe;Eastern Europe;421;SVK;Slovakia;;;;;;;;5.456.362;198
Europe;Southern Europe;386;SVN;Slovenia;;;;;;;;2.094.060;199
Africa;Eastern Africa;252;SOM;Somalia;;;;;;;;15.442.905;200
Africa;Southern Africa;27;ZAF;South Africa;;;;;;;;58.775.022;201
Europe;Southern Europe;34;ESP;Spain;;;;;;;;47.100.396;202
Asia;Southern Asia;94;LKA;Sri Lanka;;;;;;;;21.803.000;203
Africa;Northern Africa;249;SDN;Sudan;;;;;;;;42.306.185;204
Americas;South America;597;SUR;Suriname;;;;;;;;581.372;205
Europe;Northern Europe;46;SWE;Sweden;;;;;;;;10.327.589;206
Europe;Western Europe;41;CHE;Switzerland;;;;;;;;8.586.550;207
Asia;Eastern Asia;886;TWN;Taiwan;;;;;;;;23.604.265;208
Africa;Eastern Africa;255;TZA;Tanzania;;;;;;;;55.890.747;209
Asia;South-eastern Asia;66;THA;Thailand;;;;;;;;66.475.817;210
Africa;Western Africa;228;TGO;Togo;;;;;;;;7.538.000;211
Americas;Caribbean;1;TTO;Trinidad and Tobago;;;;;;;;1.363.985;212
Africa;Northern Africa;216;TUN;Tunisia;;;;;;;;11.722.038;213
Asia;Western Asia;90;TUR;Turkey;;;;;;;;83.154.997;214
Africa;Eastern Africa;256;UGA;Uganda;;;;;;;;40.299.300;215
Europe;Eastern Europe;380;UKR;Ukraine;;;;;;;;41.902.416;216
Asia;Western Asia;971;ARE;United Arab Emirates;;;;;;;;9.770.529;217
Americas;Northern America;1;BMU;Bermuda;;X;;;;;;64.027;218
Americas;Caribbean;1;CYM;Cayman Islands;;X;;;;;;65.813;219
Europe;Northern Europe;44;GBR;United Kingdom;;X;;;;;;66.435.600;220
Europe;Southern Europe;350;GIB;Gibraltar;;X;;;;;;33.701;221
Europe;Northern Europe;44;IMN;Isle of Man;;X;;;;;;83.314;222
Americas;Caribbean;1;MSR;Montserrat;;X;;;;;;4.989;223
Europe;Northern Europe;44;GBR;United Kingdom;;;;;;;;66.435.600;224
Americas;South America;598;URY;Uruguay;;;;;;;;3.518.552;225
Americas;Northern America;1;USA;United States;;;;;;;;329.368.418;226
Asia;Central Asia;998;UZB;Uzbekistan;;;;;;;;34.042.388;227
Americas;South America;58;VEN;Venezuela;;;;;;;;32.219.521;228
Asia;South-eastern Asia;84;VNM;Vietnam;;;;;;;;96.208.984;229
Africa;Eastern Africa;260;ZMB;Zambia;;;;;;;;17.381.168;230
Africa;Eastern Africa;263;ZWE;Zimbabwe;;;;;;;;15.159.624;231
Americas;Northern America;1;CAN;Canada;;X;;;;;;37.940.493;232
Americas;Caribbean;1;DMA;Dominica;;;;;;;;71.808;233
Americas;Caribbean;1;GRD;Grenada;;;;;;;;112.003;234
Africa;Eastern Africa;258;MOZ;Mozambique;;;;;;;;28.571.310;235
Asia;Western Asia;963;SYR;Syria;;;;;;;;17.070.135;236
Asia;South-eastern Asia;670;TLS;East Timor;;;;;;;;1.387.149;237
Americas;Central America;501;BLZ;Belize;;;;;;;;408.487;238
Americas;Northern America;1;CAN;Canada;;X;;;;;;37.940.493;239
Asia;South-eastern Asia;856;LAO;Laos;;;;;;;;7.123.205;240
Africa;Northern Africa;218;LBY;Libya;;;;;;;;6.777.452;241
Asia;Western Asia;970;PSE;Palestine;;;;;;;;4.976.684;242
Africa;Western Africa;245;GNB;Guinea-Bissau;;;;;;;;1.604.528;243
Africa;Western Africa;223;MLI;Mali;;;;;;;;19.973.000;244
Americas;Caribbean;1;KNA;Saint Kitts and Nevis;;;;;;;;52.823;245
Americas;Northern America;1;CAN;Canada;;X;;;;;;37.940.493;246
Americas;Northern America;1;CAN;Canada;;X;;;;;;37.940.493;247
Europe;Southern Europe;383;XK;Kosovo;;;;;;;;1.795.666;248
Asia;South-eastern Asia;95;MMR;Myanmar;;;;;;;;54.339.766;249
Americas;Caribbean;1;AIA;Anguilla;;X;;;;;;14.869;250
Americas;Caribbean;1;VGB;British Virgin Islands;;X;;;;;;30.030;251
Americas;Caribbean;1;TCA;Turks and Caicos Islands;;X;;;;;;41.369;252
In;Between;5;IC;International Conveyance;ZAL;X;MS Zaandam;;;;;2.200;253
