Last Update;Continent;Region;ICC;ID;Country;ID;;Province;ID;District;ZIP;Area;Population;"Cases 
/
100.000";Confirmed;Deaths;Recovered;OpenStreetMap;Lat.;Long.;#
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;7.371.198.387;4,06;298.977;12.936;91.443;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
2020-03-21 17:43;Europe;Southern Europe;30;GRC;Greece;;;;;;;;10.724.599;4,94;530;13;19;https://www.openstreetmap.org/#map=5/39.0742/21.8243&layers=T;39.0742;21.8243;48
2020-03-21 23:13;Americas;Northern America;1;USA;United States;MA;;Massachusetts;;;;;6.547.629;8,02;525;1;0;https://www.openstreetmap.org/#map=5/42.2302/-71.5301&layers=T;42.2302;-71.5301;49
2020-03-21 20:43;Europe;Northern Europe;358;FIN;Finland;;;;;;;;5.527.573;9,46;523;1;10;https://www.openstreetmap.org/#map=5/61.9241/25.7482&layers=T;61.9241;25.7482;50
2020-03-21 17:43;Americas;Northern America;1;USA;United States;GA;;Georgia;;;;;9.687.653;5,23;507;14;0;https://www.openstreetmap.org/#map=5/33.0406/-83.6431&layers=T;33.0406;-83.6431;51
2020-03-21 20:43;Americas;South America;593;ECU;Ecuador;;;;;;;;17.434.416;2,90;506;7;3;https://www.openstreetmap.org/#map=5/-1.8312/-78.1834&layers=T;-1.8312;-78.1834;52
2020-03-21 05:13;Asia;Eastern Asia;86;CHN;China;京;;Beijing;;;;;21.540.000;2,34;504;8;396;https://www.openstreetmap.org/#map=5/40.1824/116.4142&layers=T;40.1824;116.4142;53
2020-03-20 02:13;Asia;Eastern Asia;86;CHN;China;黑;;Heilongjiang;;;;;37.730.000;1,28;484;13;463;https://www.openstreetmap.org/#map=5/47.8620/127.7615&layers=T;47.8620;127.7615;54
2020-03-21 20:43;Asia;Western Asia;974;QAT;Qatar;;;;;;;;2.747.282;17,51;481;0;27;https://www.openstreetmap.org/#map=5/25.3548/51.1839&layers=T;25.3548;51.1839;55
2020-03-21 17:13;Europe;Northern Europe;354;ISL;Iceland;;;;;;;;364.260;129,85;473;1;22;https://www.openstreetmap.org/#map=5/64.9631/-19.0208&layers=T;64.9631;-19.0208;56
2020-03-21 11:43;Asia;South-eastern Asia;62;IDN;Indonesia;;;;;;;;266.911.900;0,17;450;38;15;https://www.openstreetmap.org/#map=5/-0.7893/113.9213&layers=T;-0.7893;113.9213;57
2020-03-21 13:13;Oceania;Oceania;61;AUS;Australia;NSW;;New South Wales;;;;;8.089.526;5,39;436;6;4;https://www.openstreetmap.org/#map=5/-33.8688/151.2093&layers=T;-33.8688;151.2093;58
2020-03-21 13:13;Asia;South-eastern Asia;65;SGP;Singapore;;;;;;;;5.703.600;7,57;432;2;140;https://www.openstreetmap.org/#map=5/1.3521/103.8198&layers=T;1.3521;103.8198;59
2020-03-21 21:13;Americas;Northern America;1;CAN;Canada;BC;;British Columbia;;;;;5.105.576;8,30;424;10;4;https://www.openstreetmap.org/#map=5/53.7267/-127.6476&layers=T;53.7267;-127.6476;60
2020-03-21 12:13;Asia;South-eastern Asia;66;THA;Thailand;;;;;;;;66.475.817;0,62;411;1;42;https://www.openstreetmap.org/#map=5/15.8700/100.9925&layers=T;15.8700;100.9925;61
2020-03-21 23:13;Americas;Northern America;1;USA;United States;PA;;Pennsylvania;;;;;12.702.379;3,12;396;2;0;https://www.openstreetmap.org/#map=5/40.5908/-77.2098&layers=T;40.5908;-77.2098;62
2020-03-21 14:43;Asia;Western Asia;966;SAU;Saudi Arabia;;;;;;;;34.218.169;1,15;392;0;16;https://www.openstreetmap.org/#map=5/23.8859/45.0792&layers=T;23.8859;45.0792;63
2020-03-21 23:13;Americas;Northern America;1;USA;United States;CO;;Colorado;;;;;5.029.196;7,75;390;4;0;https://www.openstreetmap.org/#map=5/39.0598/-105.3111&layers=T;39.0598;-105.3111;64
2020-03-21 14:43;Europe;Southern Europe;386;SVN;Slovenia;;;;;;;;2.094.060;18,29;383;1;0;https://www.openstreetmap.org/#map=5/46.1512/14.9955&layers=T;46.1512;14.9955;65
2020-03-21 04:43;Asia;Eastern Asia;86;CHN;China;沪;;Shanghai;;;;;24.240.000;1,57;380;3;327;https://www.openstreetmap.org/#map=5/31.2020/121.4491&layers=T;31.2020;121.4491;66
2020-03-21 21:13;Americas;Northern America;1;CAN;Canada;ON;;Ontario;;;;;14.659.616;2,57;377;3;6;https://www.openstreetmap.org/#map=5/51.2538/-85.3232&layers=T;51.2538;-85.3232;67
2020-03-21 23:13;Americas;Northern America;1;USA;United States;TN;;Tennessee;;;;;6.346.105;5,85;371;1;0;https://www.openstreetmap.org/#map=5/35.7478/-86.6923&layers=T;35.7478;-86.6923;68
2020-03-21 13:13;Europe;Eastern Europe;40;ROU;Romania;;;;;;;;19.405.156;1,89;367;0;52;https://www.openstreetmap.org/#map=5/45.9432/24.9668&layers=T;45.9432;24.9668;69
2020-03-21 17:43;Asia;Southern Asia;91;IND;India;;;;;;;;1.359.238.350;0,02;330;4;23;https://www.openstreetmap.org/#map=5/20.5937/78.9629&layers=T;20.5937;78.9629;70
2020-03-13 11:09;Asia;Eastern Asia;86;CHN;China;冀;;Hebei;;;;;75.560.000;0,42;318;6;310;https://www.openstreetmap.org/#map=5/38.0428/114.5149&layers=T;38.0428;114.5149;71
2020-03-21 20:43;Americas;South America;51;PER;Peru;;;;;;;;32.131.400;0,99;318;5;1;https://www.openstreetmap.org/#map=5/-9.1900/-75.0152&layers=T;-9.1900;-75.0152;72
2020-03-21 12:13;Asia;South-eastern Asia;63;PHL;Philippines;;;;;;;;108.341.299;0,28;307;19;13;https://www.openstreetmap.org/#map=5/12.8797/121.7740&layers=T;12.8797;121.7740;73
2020-03-21 12:13;Europe;Northern Europe;372;EST;Estonia;;;;;;;;1.328.360;23,04;306;0;1;https://www.openstreetmap.org/#map=5/58.5953/25.0136&layers=T;58.5953;25.0136;74
2020-03-21 14:43;Europe;Eastern Europe;7;RUS;Russia;;;;;;;;146.780.720;0,21;306;1;12;https://www.openstreetmap.org/#map=5/61.5240/105.3188&layers=T;61.5240;105.3188;75
2020-03-21 17:43;Asia;Western Asia;973;BHR;Bahrain;;;;;;;;1.543.300;19,76;305;1;125;https://www.openstreetmap.org/#map=5/26.0667/50.5577&layers=T;26.0667;50.5577;76
2020-03-21 01:13;Asia;Eastern Asia;86;CHN;China;闽;;Fujian;;;;;39.410.000;0,77;303;1;295;https://www.openstreetmap.org/#map=5/26.0789/117.9874&layers=T;26.0789;117.9874;77
2020-03-21 20:43;Africa;Northern Africa;20;EGY;Egypt;;;;;;;;100.072.195;0,29;294;10;41;https://www.openstreetmap.org/#map=5/26.8206/30.8025&layers=T;26.8206;30.8025;78
2020-03-21 23:13;Americas;Northern America;1;USA;United States;WI;;Wisconsin;;;;;5.686.986;4,96;282;4;0;https://www.openstreetmap.org/#map=5/44.2685/-89.6165&layers=T;44.2685;-89.6165;79
2020-03-21 09:13;Asia;Eastern Asia;86;CHN;China;港;;Hong Kong;;;;;7.450.000;3,66;273;4;98;https://www.openstreetmap.org/#map=5/22.3000/114.2000&layers=T;22.3000;114.2000;80
2020-03-20 00:43;Asia;Eastern Asia;86;CHN;China;桂;;Guangxi;;;;;49.260.000;0,52;254;2;250;https://www.openstreetmap.org/#map=5/23.8298/108.7881&layers=T;23.8298;108.7881;81
2020-03-21 23:13;Americas;Northern America;1;USA;United States;NC;;North Carolina;;;;;9.535.483;2,65;253;0;0;https://www.openstreetmap.org/#map=5/35.6301/-79.8064&layers=T;35.6301;-79.8064;82
2020-03-21 01:43;Asia;Eastern Asia;86;CHN;China;陕;;Shaanxi;;;;;38.640.000;0,64;248;3;239;https://www.openstreetmap.org/#map=5/35.1917/108.8701&layers=T;35.1917;108.8701;83
2020-03-21 19:43;Americas;Northern America;1;USA;United States;OH;;Ohio;;;;;11.536.504;2,15;248;3;0;https://www.openstreetmap.org/#map=5/40.3888/-82.7649&layers=T;40.3888;-82.7649;84
2020-03-21 12:13;Africa;Southern Africa;27;ZAF;South Africa;;;;;;;;58.775.022;0,41;240;0;0;https://www.openstreetmap.org/#map=5/-30.5595/22.9375&layers=T;-30.5595;22.9375;85
2020-03-21 13:13;Oceania;Oceania;61;AUS;Australia;VIC;;Victoria;;;;;6.594.804;3,47;229;0;8;https://www.openstreetmap.org/#map=5/-37.8136/144.9631&layers=T;-37.8136;144.9631;86
2020-03-21 13:13;Oceania;Oceania;61;AUS;Australia;QLD;;Queensland;;;;;5.095.100;4,34;221;0;8;https://www.openstreetmap.org/#map=5/-28.0167/153.4000&layers=T;-28.0167;153.4000;87
2020-03-21 17:43;Asia;Western Asia;964;IRQ;Iraq;;;;;;;;39.127.900;0,55;214;17;51;https://www.openstreetmap.org/#map=5/33.2232/43.6793&layers=T;33.2232;43.6793;88
2020-03-21 17:43;Europe;Southern Europe;385;HRV;Croatia;;;;;;;;4.076.246;5,05;206;1;5;https://www.openstreetmap.org/#map=5/45.1000/15.2000&layers=T;45.1000;15.2000;89
2020-03-21 12:13;Americas;Central America;52;MEX;Mexico;;;;;;;;126.577.691;0,16;203;2;4;https://www.openstreetmap.org/#map=5/23.6345/-102.5528&layers=T;23.6345;-102.5528;90
2020-03-21 02:13;Americas;Central America;507;PAN;Panama;;;;;;;;4.218.808;4,74;200;1;0;https://www.openstreetmap.org/#map=5/8.5380/-80.7821&layers=T;8.5380;-80.7821;91
2020-03-21 17:43;Americas;South America;57;COL;Colombia;;;;;;;;49.395.678;0,40;196;0;1;https://www.openstreetmap.org/#map=5/4.5709/-74.2973&layers=T;4.5709;-74.2973;92
