;0;Country or unrecognized territory;International Calling Code
0;0;;0
185;812;Paraguay;595
186;813;Peru;51
187;814;Philippines;63
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
188;855;Pitcairn Islands;64
0;0;;
189;857;Poland;48
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
190;870;Portugal;351
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;
191;885;Puerto Rico;1
0;0;;0
192;887;Qatar;974
0;0;;0
0;0;;0
0;0;;0
193;891;Réunion;262
0;0;;0
194;893;Romania;40
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
195;902;Russia;7
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
196;917;Rwanda;250
0;0;;0
197;919;Saba;599
198;920;Sahrawi Arab Democratic Republic;212
199;921;Saint Barthélemy;590
200;922;Saint Helena;290
201;923;Saint Kitts and Nevis;1
202;924;Saint Lucia;1
203;925;Saint Martin;590
204;926;Saint Pierre and Miquelon;508
205;927;Saint Vincent and the Grenadines;1
206;928;Samoa;685
207;929;San Marino;378
208;930;São Tomé and Príncipe;239
209;931;Saudi Arabia;966
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
210;940;Scotland;44
211;941;Senegal;221
0;0;;0
212;943;Serbia;381
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
213;953;Seychelles;248
0;0;;0
214;955;Sierra Leone;232
0;0;;0
0;0;;0
0;0;;0
215;959;Singapore;65
0;0;;0
216;961;Sint Eustatius;599
217;962;Sint Maarten;1
218;963;Slovakia;421
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
219;985;Slovenia;386
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
220;999;Solomon Islands;677
0;0;;0
221;1001;Somalia;252
222;1002;South Africa;27
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;
223;1028;South Korea;82
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
224;1034;South Ossetia;995
225;1035;South Sudan;211
226;1036;Spain;34
0;0;;0
227;1038;Sri Lanka;94
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
228;1045;Sudan;249
229;1046;Suriname;597
230;1047;Svalbard;47
231;1048;Sweden;46
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
232;1091;Switzerland;41
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
233;1097;Syria;963
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
234;1103;Taiwan;886
235;1104;Tajikistan;992
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
236;1122;Tanzania;255
237;1123;Thailand;66
0;0;;0
0;0;;0
238;1126;Togo;228
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
239;1132;Tokelau;690
240;1133;Tonga;676
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
241;1141;Trinidad and Tobago;1
242;1142;Tristan da Cunha;290
243;1143;Tunisia;216
0;0;;0
0;0;;0
0;0;;0
0;0;;0
244;1148;Turkey;90
0;0;;0
0;0;;0
0;0;;0
245;1152;Turkmenistan;993
0;0;;0
0;0;;0
246;1155;Turks and Caicos Islands;1
247;1156;Tuvalu;688
248;1157;Uganda;256
249;1158;Ukraine;380
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
250;1173;United Arab Emirates;971
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
251;1179;United Kingdom;44
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
252;1188;United States;1
0;0;;0
253;1190;Uruguay;598
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
254;1198;Uzbekistan;998
0;0;;0
0;0;;0
0;0;;0
0;0;;0
255;1203;Vanuatu;678
0;0;;0
256;1205;Holy See;39
257;1206;Venezuela;58
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
258;1212;Vietnam;84
259;1213;U.S. Virgin Islands;1
260;1214;Wales;44
261;1215;Wallis and Futuna;681
262;1216;Western Sahara;212
0;0;;0
263;1218;Yemen;967
0;0;;0
0;0;;0
0;0;;0
0;0;;0
264;1223;Zambia;260
265;1224;Zimbabwe;263
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
0;0;;0
