ID;Country;ICC;Population;Region;"Sub- or Intermediate
Region"
LSO;Lesotho;266;2.007.201;Africa;Southern Africa
LBR;Liberia;231;4.475.353;Africa;Western Africa
LBY;Libya;218;6.777.452;Africa;Northern Africa
LIE;Liechtenstein;423;38.557;Europe;Western Europe
LTU;Lithuania;370;2.793.350;Europe;Northern Europe
LUX;Luxembourg;352;613.894;Europe;Western Europe
MDG;Madagascar;261;25.680.342;Africa;Eastern Africa
PT-30;Madeira;351;289.000;Africa;Northern Africa
MWI;Malawi;265;17.563.749;Africa;Eastern Africa
MYS;Malaysia;60;32.704.760;Asia;South-eastern Asia
MDV;Maldives;960;374.775;Asia;Southern Asia
MLI;Mali;223;19.973.000;Africa;Western Africa
MLT;Malta;356;493.559;Europe;Southern Europe
MHL;Marshall Islands;692;55.500;Oceania;Micronesia
MTQ;Martinique;596;376.480;Americas;Caribbean
MRT;Mauritania;222;4.077.347;Africa;Western Africa
MUS;Mauritius;230;1.265.985;Africa;Eastern Africa
MYT;Mayotte;262;279.471;Africa;Eastern Africa
ES-ML;Melilla;34;86.384;Africa;Northern Africa
MEX;Mexico;52;126.577.691;Americas;Central America
MDA;Moldova;373;2.681.735;Europe;Eastern Europe
PMR;Transnistria;373;469.000;Europe;Eastern Europe
MCO;Monaco;377;38.300;Europe;Western Europe
MNG;Mongolia;976;3.305.182;Asia;Eastern Asia
MNE;Montenegro;382;622.359;Europe;Southern Europe
MSR;Montserrat;1;4.989;Americas;Caribbean
MAR;Morocco;212;35.824.881;Africa;Northern Africa
MOZ;Mozambique;258;28.571.310;Africa;Eastern Africa
MMR;Myanmar;95;54.339.766;Asia;South-eastern Asia
AMA;Artsakh;374;148.000;Asia;Western Asia
NAM;Namibia;264;2.458.936;Africa;Southern Africa
NRU;Nauru;674;11.000;Oceania;Micronesia
