Last Update;World Region;ICC;ID;Country;;Province;;District;ZIP;Area;Population;Confirmed;Deaths;Recovered;#
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;125865;4615;67003;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
2020-03-11T02:18:26;Northern Europe;370;LTU;Lithuania;;;;;;;2793350;3;0;0;161
2020-03-11T02:18:29;Caribbean;596;MTQ;Martinique;;;;;;;376480;3;0;0;162
2020-03-11T18:52:03;Eastern Europe;373;MDA;Moldova;;;;;;;2681735;3;0;0;163
2020-03-11T23:13:06;Northern America;1.X;USA;USA;09;Connecticut;;;;;3574097;3;0;0;164
2020-03-11T18:52:04;Northern America;1.X;USA;USA;35;New Mexico;;;;;2059179;3;0;0;165
2020-03-11T23:13:06;Northern America;1.X;USA;USA;49;Utah;;;;;2763885;3;0;0;166
2020-03-11T18:52:03;South America;591;BOL;Bolivia;;;;;;;11469896;2;0;0;167
2020-03-11T09:33:12;Western Africa;226;BFA;Burkina Faso;;;;;;;20870060;2;0;0;168
2020-03-08T05:23:03;Middle Africa;237;CMR;Cameroon;;;;;;;25876000;2;0;0;169
2020-03-11T20:53:02;Northern Europe;45;DNK;Denmark;;;;;;;5822763;2;0;0;170
2020-03-11T20:53:02;Western Europe;33;FRA;France;;;;;;;67064000;2;0;0;171
2020-03-11T18:52:03;Central America;504;HND;Honduras;;;;;;;9158345;2;0;0;172
2020-03-09T09:43:03;Western Africa;234;NGA;Nigeria;;;;;;;200963599;2;0;0;173
2020-03-11T09:33:12;Southern Asia;94;LKA;Sri Lanka;;;;;;;21803000;2;0;1;174
2020-03-10T03:13:17;Northern America;1.X;USA;USA;15;Hawaii;;;;;1360301;2;0;0;175
2020-03-11T03:33:05;Northern America;1.X;USA;USA;26;Michigan;;;;;9883640;2;0;0;176
2020-03-10T17:13:25;Northern America;1.X;USA;USA;40;Oklahoma;;;;;3751351;2;0;0;177
2020-03-11T20:53:02;Northern Europe;44.F;GBR;United Kingdom;;;;;;;66435600;2;0;0;178
2020-03-02T20:23:16;Southern Europe;376;AND;Andorra;;;;;;;77543;1;0;0;179
2020-03-01T19:53:02;Western Asia;374;ARM;Armenia;;;;;;;2957500;1;0;0;180
2020-03-10T14:13:14;Oceania;61;AUS;Australia;;;;;;;25631395;1;0;0;181
2020-03-06T15:43:02;Southern Asia;975;BTN;Bhutan;;;;;;;741672;1;0;0;182
2020-03-11T23:13:06;Northern America;1.G;CAN;Canada;;;;;;;37940493;1;0;0;183
2020-03-11T02:18:14;Eastern Asia;86;CHN;China;31;Xizang;;;;;3440000;1;0;1;184
2020-03-11T21:13:24;Middle Africa;243;COD;DR Congo;;;;;;;86790567;1;0;0;185
2020-03-11T23:33:03;Western Africa;225;CIV;Côte d'Ivoire;;;;;;;25823071;1;0;0;186
2020-03-11T20:53:02;Western Europe;33;FRA;France;;;;;;;67064000;1;0;0;187
2020-03-10T19:13:21;Southern Europe;39.A;VAT;Status Civitatis Vaticanæ;;;;;;;799;1;0;0;188
2020-03-11T18:52:03;Caribbean;1.N;JAM;Jamaica;;;;;;;2726667;1;0;0;189
2020-03-03T15:33:02;Western Asia;962;JOR;Jordan;;;;;;;10625504;1;0;0;190
2020-03-04T01:33:07;Western Europe;423;LIE;Liechtenstein;;;;;;;38557;1;0;0;191
