;Province/State;Country/Region;Last Update;Confirmed;Deaths;Recovered;Latitude;Longitude
157;Arizona;US;2020-03-16T17:13:23;18;0;1;33.7298;-111.4312
158;Nebraska;US;2020-03-16T17:13:23;18;0;0;41.1254;-98.2681
159;;Jordan;2020-03-16T15:13:35;17;0;1;30.5852;36.2384
160;;Lithuania;2020-03-16T14:38:45;17;0;1;55.1694;23.8813
161;Maine;US;2020-03-16T18:14:12;17;0;0;44.6939;-69.3819
162;New Hampshire;US;2020-03-16T22:33:03;17;0;0;43.4525;-71.5639
163;New Mexico;US;2020-03-16T02:53:12;17;0;0;34.8405;-106.2485
164;;Venezuela;2020-03-16T00:53:03;17;0;0;6.4238;-66.5897
165;;Azerbaijan;2020-03-16T14:38:45;15;1;6;40.1431;47.5769
166;;Burkina Faso;2020-03-16T14:38:45;15;0;0;12.2383;-1.5616
167;;Martinique;2020-03-16T14:38:45;15;1;0;14.6415;-61.0242
168;;Maldives;2020-03-15T18:20:18;13;0;0;3.2028;73.2207
169;Mississippi;US;2020-03-16T22:33:03;13;0;0;32.7416;-89.6787
170;Vermont;US;2020-03-16T17:13:23;12;0;0;44.0459;-72.7107
171;;Bolivia;2020-03-16T14:38:45;11;0;0;-16.2902;-63.5887
172;Macau;China;2020-03-16T00:22:10;11;0;10;22.1667;113.5500
173;;Dominican Republic;2020-03-14T20:53:02;11;0;0;18.7357;-70.1627
174;;French Guiana;2020-03-16T14:38:46;11;0;0;3.9339;-53.1258
175;Kansas;US;2020-03-16T17:13:23;11;1;0;38.5266;-96.7265
176;;Jamaica;2020-03-16T01:53:03;10;0;2;18.1096;-77.2975
177;;Kazakhstan;2020-03-16T14:38:45;10;0;0;48.0196;66.9237
178;Oklahoma;US;2020-03-16T18:14:12;10;0;0;35.5653;-96.9289
179;South Dakota;US;2020-03-16T20:13:20;10;1;0;44.2998;-99.4388
180;;Reunion;2020-03-16T14:38:45;9;0;0;-21.1151;55.5364
181;;Bangladesh;2020-03-16T14:38:45;8;0;2;23.6850;90.3563
182;;New Zealand;2020-03-15T18:20:18;8;0;0;-40.9006;174.8860
183;;Paraguay;2020-03-16T14:38:45;8;0;0;-23.4425;-58.4438
184;Delaware;US;2020-03-16T20:13:20;8;0;0;39.3185;-75.5071
185;;Uruguay;2020-03-16T14:38:45;8;0;0;-32.5228;-55.7658
